-LSB-	O
Illustration	O
:	O
Frontispiece	O
-RSB-	O
To	O
THE	O
WISE	O
MAN	O
ALL	O
THE	O
WORLD	O
'S	O
A	O
SOIL	O
--	O
BEN	O
JONSON	O
-LSB-	O
Illustration	O
:	O
Title	O
page	O
-RSB-	O
A	O
VOYAGE	O
ROUND	O
THE	O
WORLD	O
_	O
in	O
the	O
years	O
1740-4	O
by	O
_	O
LORD	O
ANSON	O
LONDON	O
:	O
PUBLISHED	O
by	O
J.	O
M.	O
DENT	O
&	O
SONS	O
Ltd.	O
.	O

AND	O
IN	O
NEW	O
YORK	O
BY	O
E.	O
P.	O
DUTTON	O
&	O
CO	O
-LCB-	O
vii	O
-RCB-	O
-LCB-	O
xxi	O
-RCB-	O
CONTENTS	O
BOOK	O
I	O
CHAP	O
.	O

I.	O
Of	O
the	O
Equipment	O
of	O
the	O
Squadron	O
:	O
the	O
Incidents	O
relating	O
thereto	O
,	O
from	O
its	O
first	O
Appointment	O
to	O
its	O
setting	O
sail	O
from	O
St.	PNM
Helens	PNM
II	PNM
.	O

The	O
Passage	O
from	O
St.	PNM
Helens	PNM
to	O
the	O
Island	PNM
of	PNM
Madera	PNM
;	O
with	O
a	O
short	O
Account	O
of	O
that	O
Island	O
,	O
and	O
of	O
our	O
Stay	O
there	O
III	O
.	O

The	O
History	O
of	O
the	O
Spanish	O
Squadron	O
commanded	O
by	O
Don	O
Joseph	O
Pizarro	O
IV	O
.	O

From	O
Madera	PNM
to	O
St.	PNM
Catherine	PNM
's	PNM
V.	O
Proceedings	O
at	O
St.	PNM
Catherine	PNM
's	PNM
,	PNM
and	O
a	O
Description	O
of	O
the	O
Place	O
,	O
with	O
a	O
short	O
Account	O
of	O
Brazil	PNM
VI	O
.	O

The	O
run	O
from	O
St.	PNM
Catherine	PNM
's	PNM
to	O
Port	PNM
St.	PNM
Julian	PNM
,	O
with	O
some	O
Account	O
of	O
that	O
Port	O
,	O
and	O
of	O
the	O
Country	O
to	O
the	O
southward	O
of	O
the	O
River	PNM
of	PNM
Plate	PNM
VII	PNM
.	O

Departure	O
from	O
the	O
Bay	PNM
of	PNM
St.	PNM
Julian	PNM
,	O
and	O
the	O
Passage	O
from	O
thence	O
to	O
Streights	PNM
Le	PNM
Maire	PNM
VIII	O
.	O

From	O
Streights	PNM
Le	PNM
Maire	PNM
to	O
Cape	PNM
Noir	PNM
IX	PNM
.	O

Observations	O
and	O
Directions	O
for	O
facilitating	O
the	O
Passage	O
of	O
our	O
future	O
Cruisers	O
round	O
Cape	PNM
Horn	PNM
X.	O
From	O
Cape	PNM
Noir	PNM
to	O
the	O
Island	PNM
of	PNM
Juan	PNM
Fernandes	PNM
BOOK	O
II	O
I	O
.	O

The	O
Arrival	O
of	O
the	O
_	O
Centurion	O
_	O
at	O
the	O
Island	PNM
of	PNM
Juan	PNM
Fernandes	PNM
,	O
with	O
a	O
Description	O
of	O
that	O
Island	O
II	O
.	O

The	O
Arrival	O
of	O
the	O
_	O
Gloucester	O
_	O
and	O
the	O
_	O
Anna	O
_	O
Pink	O
at	O
the	O
Island	PNM
of	PNM
Juan	PNM
Fernandes	PNM
,	O
and	O
the	O
Transactions	O
at	O
that	O
Place	O
during	O
this	O
Interval	O
III	O
.	O

A	O
short	O
Narrative	O
of	O
what	O
befel	O
the	O
_	O
Anna	O
_	O
Pink	O
before	O
she	O
joined	O
us	O
,	O
with	O
an	O
Account	O
of	O
the	O
Loss	O
of	O
the	O
_	O
Wager	O
_	O
,	O
and	O
of	O
the	O
putting	O
back	O
of	O
the	O
_	O
Severn	O
_	O
and	O
_	O
Pearl	PNM
_	O
,	O
the	O
two	O
remaining	O
Ships	O
of	O
the	O
Squadron	O
IV	O
.	O

Conclusion	O
of	O
our	O
Proceedings	O
at	O
Juan	PNM
Fernandes	PNM
,	O
from	O
the	O
Arrival	O
of	O
the	O
_	O
Anna	PNM
_	O
Pink	O
to	O
our	O
final	O
Departure	O
from	O
thence	O
-LCB-	O
xxii	O
-RCB-	O
V	O
.	O

Our	O
Cruise	O
from	O
the	O
time	O
of	O
our	O
leaving	O
Juan	O
Fernandes	O
to	O
the	O
taking	O
of	O
the	O
Town	PNM
of	PNM
Paita	PNM
VI	O
.	O

The	O
taking	O
of	O
Paita	PNM
,	O
and	O
our	O
Proceedings	O
there	O
VII	O
.	O

From	O
our	O
Departure	O
from	O
Paita	PNM
to	O
our	O
Arrival	O
at	O
Quibo	PNM
VIII	O
.	O

Our	O
Proceedings	O
at	O
Quibo	PNM
,	O
with	O
an	O
Account	O
of	O
the	O
Place	O
IX	O
.	O

From	O
Quibo	PNM
to	O
the	O
Coast	O
of	O
Mexico	PNM
X	O
.	O

An	O
Account	O
of	O
the	O
Commerce	O
carried	O
on	O
between	O
the	O
City	O
of	O
Manila	PNM
on	O
the	O
Island	PNM
of	PNM
Luconia	PNM
,	O
and	O
the	O
Port	PNM
of	PNM
